Date,Location,WindGustSpeed
15/01/2013,Albury,30
15/03/2013,Albury,22
15/04/2013,Albury,30
15/05/2013,Albury,39
15/06/2013,Albury,17
15/07/2013,Albury,37
15/08/2013,Albury,20
15/09/2013,Albury,50
15/10/2013,Albury,30
15/11/2013,Albury,35
15/12/2013,Albury,41
15/01/2014,Albury,28
15/02/2014,Albury,20
15/03/2014,Albury,63
15/04/2014,Albury,50
15/05/2014,Albury,15
15/06/2014,Albury,35
15/07/2014,Albury,24
15/08/2014,Albury,19
15/09/2014,Albury,28
15/10/2014,Albury,22
15/11/2014,Albury,37
15/12/2014,Albury,39
15/01/2015,Albury,43
15/02/2015,Albury,24
15/03/2015,Albury,37
15/04/2015,Albury,39
15/05/2015,Albury,15
15/06/2015,Albury,17
15/07/2015,Albury,30
15/08/2015,Albury,17
15/09/2015,Albury,54
15/10/2015,Albury,39
15/11/2015,Albury,31
15/12/2015,Albury,24
15/01/2016,Albury,46
15/02/2016,Albury,41
15/03/2016,Albury,33
15/04/2016,Albury,17
15/05/2016,Albury,30
15/06/2016,Albury,15
15/07/2016,Albury,20
15/08/2016,Albury,19
15/09/2016,Albury,39
15/10/2016,Albury,35
15/11/2016,Albury,33
15/12/2016,Albury,33
15/01/2017,Albury,26
15/02/2017,Albury,31
15/03/2017,Albury,44
15/04/2017,Albury,33
15/05/2017,Albury,17
15/06/2017,Albury,17
15/01/2013,BadgerysCreek,37
15/03/2013,BadgerysCreek,20
15/04/2013,BadgerysCreek,26
15/05/2013,BadgerysCreek,41
15/06/2013,BadgerysCreek,48
15/07/2013,BadgerysCreek,7
15/08/2013,BadgerysCreek,52
15/09/2013,BadgerysCreek,31
15/10/2013,BadgerysCreek,28
15/11/2013,BadgerysCreek,41
15/12/2013,BadgerysCreek,35
15/01/2014,BadgerysCreek,35
15/02/2014,BadgerysCreek,28
15/03/2014,BadgerysCreek,78
15/04/2014,BadgerysCreek,37
15/05/2014,BadgerysCreek,13
15/06/2014,BadgerysCreek,56
15/07/2014,BadgerysCreek,11
15/08/2014,BadgerysCreek,26
15/09/2014,BadgerysCreek,28
15/10/2014,BadgerysCreek,57
15/11/2014,BadgerysCreek,30
15/12/2014,BadgerysCreek,28
15/01/2015,BadgerysCreek,33
15/02/2015,BadgerysCreek,28
15/03/2015,BadgerysCreek,48
15/04/2015,BadgerysCreek,50
15/05/2015,BadgerysCreek,33
15/06/2015,BadgerysCreek,15
15/07/2015,BadgerysCreek,15
15/08/2015,BadgerysCreek,22
15/09/2015,BadgerysCreek,63
15/10/2015,BadgerysCreek,24
15/11/2015,BadgerysCreek,NA
15/12/2015,BadgerysCreek,39
15/01/2016,BadgerysCreek,43
15/02/2016,BadgerysCreek,31
15/03/2016,BadgerysCreek,31
15/04/2016,BadgerysCreek,24
15/05/2016,BadgerysCreek,20
15/06/2016,BadgerysCreek,20
15/07/2016,BadgerysCreek,19
15/08/2016,BadgerysCreek,24
15/09/2016,BadgerysCreek,NA
15/10/2016,BadgerysCreek,26
15/11/2016,BadgerysCreek,30
15/12/2016,BadgerysCreek,NA
15/01/2017,BadgerysCreek,37
15/02/2017,BadgerysCreek,31
15/03/2017,BadgerysCreek,43
15/04/2017,BadgerysCreek,26
15/05/2017,BadgerysCreek,35
15/06/2017,BadgerysCreek,11
15/01/2013,Cobar,52
15/03/2013,Cobar,33
15/04/2013,Cobar,39
15/05/2013,Cobar,30
15/06/2013,Cobar,33
15/07/2013,Cobar,56
15/08/2013,Cobar,31
15/09/2013,Cobar,39
15/10/2013,Cobar,22
15/11/2013,Cobar,35
15/12/2013,Cobar,33
15/01/2014,Cobar,39
15/02/2014,Cobar,69
15/03/2014,Cobar,46
15/04/2014,Cobar,30
15/05/2014,Cobar,26
15/06/2014,Cobar,31
15/07/2014,Cobar,35
15/08/2014,Cobar,43
15/09/2014,Cobar,72
15/10/2014,Cobar,52
15/11/2014,Cobar,54
15/12/2014,Cobar,37
15/01/2015,Cobar,37
15/02/2015,Cobar,37
15/03/2015,Cobar,43
15/04/2015,Cobar,30
15/05/2015,Cobar,52
15/06/2015,Cobar,31
15/07/2015,Cobar,31
15/08/2015,Cobar,30
15/09/2015,Cobar,30
15/10/2015,Cobar,43
15/11/2015,Cobar,48
15/12/2015,Cobar,37
15/01/2016,Cobar,46
15/02/2016,Cobar,44
15/03/2016,Cobar,44
15/04/2016,Cobar,33
15/05/2016,Cobar,28
15/06/2016,Cobar,24
15/07/2016,Cobar,33
15/08/2016,Cobar,24
15/09/2016,Cobar,35
15/10/2016,Cobar,35
15/11/2016,Cobar,41
15/12/2016,Cobar,37
15/01/2017,Cobar,37
15/02/2017,Cobar,31
15/03/2017,Cobar,46
15/04/2017,Cobar,26
15/05/2017,Cobar,28
15/06/2017,Cobar,19
15/01/2013,CoffsHarbour,31
15/03/2013,CoffsHarbour,43
15/04/2013,CoffsHarbour,31
15/05/2013,CoffsHarbour,20
15/06/2013,CoffsHarbour,33
15/07/2013,CoffsHarbour,24
15/08/2013,CoffsHarbour,52
15/09/2013,CoffsHarbour,39
15/10/2013,CoffsHarbour,31
15/11/2013,CoffsHarbour,28
15/12/2013,CoffsHarbour,48
15/01/2014,CoffsHarbour,33
15/02/2014,CoffsHarbour,33
15/03/2014,CoffsHarbour,43
15/04/2014,CoffsHarbour,43
15/05/2014,CoffsHarbour,NA
15/06/2014,CoffsHarbour,NA
15/07/2014,CoffsHarbour,NA
15/08/2014,CoffsHarbour,NA
15/09/2014,CoffsHarbour,NA
15/10/2014,CoffsHarbour,NA
15/11/2014,CoffsHarbour,NA
15/12/2014,CoffsHarbour,NA
15/01/2015,CoffsHarbour,NA
15/02/2015,CoffsHarbour,35
15/03/2015,CoffsHarbour,57
15/04/2015,CoffsHarbour,31
15/05/2015,CoffsHarbour,57
15/06/2015,CoffsHarbour,24
15/07/2015,CoffsHarbour,20
15/08/2015,CoffsHarbour,37
15/09/2015,CoffsHarbour,NA
15/10/2015,CoffsHarbour,33
15/11/2015,CoffsHarbour,NA
15/12/2015,CoffsHarbour,50
15/01/2016,CoffsHarbour,59
15/02/2016,CoffsHarbour,30
15/03/2016,CoffsHarbour,33
15/04/2016,CoffsHarbour,26
15/05/2016,CoffsHarbour,30
15/06/2016,CoffsHarbour,30
15/07/2016,CoffsHarbour,24
15/08/2016,CoffsHarbour,31
15/09/2016,CoffsHarbour,NA
15/10/2016,CoffsHarbour,41
15/11/2016,CoffsHarbour,44
15/12/2016,CoffsHarbour,43
15/01/2017,CoffsHarbour,54
15/02/2017,CoffsHarbour,37
15/03/2017,CoffsHarbour,39
15/04/2017,CoffsHarbour,20
15/05/2017,CoffsHarbour,33
15/06/2017,CoffsHarbour,28
15/01/2013,Moree,50
15/03/2013,Moree,33
15/04/2013,Moree,26
15/05/2013,Moree,26
15/06/2013,Moree,35
15/07/2013,Moree,35
15/08/2013,Moree,52
15/09/2013,Moree,31
15/10/2013,Moree,31
15/11/2013,Moree,57
15/12/2013,Moree,50
15/01/2014,Moree,46
15/02/2014,Moree,41
15/03/2014,Moree,35
15/04/2014,Moree,30
15/05/2014,Moree,30
15/06/2014,Moree,35
15/07/2014,Moree,37
15/08/2014,Moree,35
15/09/2014,Moree,33
15/10/2014,Moree,44
15/11/2014,Moree,52
15/12/2014,Moree,46
15/01/2015,Moree,46
15/02/2015,Moree,74
15/03/2015,Moree,52
15/04/2015,Moree,35
15/05/2015,Moree,28
15/06/2015,Moree,39
15/07/2015,Moree,31
15/08/2015,Moree,17
15/09/2015,Moree,48
15/10/2015,Moree,31
15/11/2015,Moree,48
15/12/2015,Moree,52
15/01/2016,Moree,56
15/02/2016,Moree,48
15/03/2016,Moree,46
15/04/2016,Moree,41
15/05/2016,Moree,26
15/06/2016,Moree,30
15/07/2016,Moree,22
15/08/2016,Moree,NA
15/09/2016,Moree,30
15/10/2016,Moree,30
15/11/2016,Moree,39
15/12/2016,Moree,56
15/01/2017,Moree,54
15/02/2017,Moree,50
15/03/2017,Moree,59
15/04/2017,Moree,31
15/05/2017,Moree,43
15/06/2017,Moree,31
15/01/2013,Newcastle,NA
15/03/2013,Newcastle,NA
15/04/2013,Newcastle,NA
15/05/2013,Newcastle,NA
15/06/2013,Newcastle,NA
15/07/2013,Newcastle,NA
15/08/2013,Newcastle,NA
15/09/2013,Newcastle,NA
15/10/2013,Newcastle,NA
15/11/2013,Newcastle,NA
15/12/2013,Newcastle,NA
15/01/2014,Newcastle,NA
15/02/2014,Newcastle,NA
15/03/2014,Newcastle,NA
15/04/2014,Newcastle,NA
15/05/2014,Newcastle,NA
15/06/2014,Newcastle,NA
15/07/2014,Newcastle,NA
15/08/2014,Newcastle,NA
15/09/2014,Newcastle,NA
15/10/2014,Newcastle,NA
15/11/2014,Newcastle,NA
15/12/2014,Newcastle,NA
15/01/2015,Newcastle,NA
15/02/2015,Newcastle,NA
15/03/2015,Newcastle,NA
15/04/2015,Newcastle,NA
15/05/2015,Newcastle,NA
15/06/2015,Newcastle,NA
15/07/2015,Newcastle,NA
15/08/2015,Newcastle,NA
15/09/2015,Newcastle,NA
15/10/2015,Newcastle,NA
15/11/2015,Newcastle,NA
15/12/2015,Newcastle,NA
15/01/2016,Newcastle,NA
15/02/2016,Newcastle,NA
15/03/2016,Newcastle,NA
15/04/2016,Newcastle,NA
15/05/2016,Newcastle,NA
15/06/2016,Newcastle,NA
15/07/2016,Newcastle,NA
15/08/2016,Newcastle,NA
15/09/2016,Newcastle,NA
15/10/2016,Newcastle,NA
15/11/2016,Newcastle,NA
15/12/2016,Newcastle,NA
15/01/2017,Newcastle,NA
15/02/2017,Newcastle,NA
15/03/2017,Newcastle,NA
15/04/2017,Newcastle,NA
15/05/2017,Newcastle,NA
15/06/2017,Newcastle,NA
15/01/2013,NorahHead,44
15/03/2013,NorahHead,46
15/04/2013,NorahHead,33
15/05/2013,NorahHead,30
15/06/2013,NorahHead,44
15/07/2013,NorahHead,28
15/08/2013,NorahHead,48
15/09/2013,NorahHead,30
15/10/2013,NorahHead,48
15/11/2013,NorahHead,43
15/12/2013,NorahHead,28
15/01/2014,NorahHead,56
15/02/2014,NorahHead,44
15/03/2014,NorahHead,33
15/04/2014,NorahHead,61
15/05/2014,NorahHead,28
15/06/2014,NorahHead,43
15/07/2014,NorahHead,22
15/08/2014,NorahHead,28
15/09/2014,NorahHead,39
15/10/2014,NorahHead,102
15/11/2014,NorahHead,54
15/12/2014,NorahHead,33
15/01/2015,NorahHead,39
15/02/2015,NorahHead,46
15/03/2015,NorahHead,74
15/04/2015,NorahHead,52
15/05/2015,NorahHead,61
15/06/2015,NorahHead,54
15/07/2015,NorahHead,20
15/08/2015,NorahHead,39
15/09/2015,NorahHead,NA
15/10/2015,NorahHead,44
15/11/2015,NorahHead,63
15/12/2015,NorahHead,43
15/01/2016,NorahHead,74
15/02/2016,NorahHead,48
15/03/2016,NorahHead,52
15/04/2016,NorahHead,43
15/05/2016,NorahHead,26
15/06/2016,NorahHead,24
15/07/2016,NorahHead,22
15/08/2016,NorahHead,33
15/09/2016,NorahHead,44
15/10/2016,NorahHead,52
15/11/2016,NorahHead,52
15/12/2016,NorahHead,46
15/01/2017,NorahHead,35
15/02/2017,NorahHead,43
15/03/2017,NorahHead,48
15/04/2017,NorahHead,30
15/05/2017,NorahHead,50
15/06/2017,NorahHead,22
15/01/2013,NorfolkIsland,44
15/03/2013,NorfolkIsland,37
15/04/2013,NorfolkIsland,72
15/05/2013,NorfolkIsland,28
15/06/2013,NorfolkIsland,70
15/07/2013,NorfolkIsland,48
15/08/2013,NorfolkIsland,48
15/09/2013,NorfolkIsland,52
15/10/2013,NorfolkIsland,59
15/11/2013,NorfolkIsland,39
15/12/2013,NorfolkIsland,33
15/01/2014,NorfolkIsland,43
15/02/2014,NorfolkIsland,33
15/03/2014,NorfolkIsland,56
15/04/2014,NorfolkIsland,37
15/05/2014,NorfolkIsland,43
15/06/2014,NorfolkIsland,48
15/07/2014,NorfolkIsland,61
15/08/2014,NorfolkIsland,44
15/09/2014,NorfolkIsland,22
15/10/2014,NorfolkIsland,37
15/11/2014,NorfolkIsland,35
15/12/2014,NorfolkIsland,63
15/01/2015,NorfolkIsland,30
15/02/2015,NorfolkIsland,52
15/03/2015,NorfolkIsland,52
15/04/2015,NorfolkIsland,35
15/05/2015,NorfolkIsland,72
15/06/2015,NorfolkIsland,24
15/07/2015,NorfolkIsland,33
15/08/2015,NorfolkIsland,48
15/09/2015,NorfolkIsland,39
15/10/2015,NorfolkIsland,50
15/11/2015,NorfolkIsland,46
15/12/2015,NorfolkIsland,41
15/01/2016,NorfolkIsland,31
15/02/2016,NorfolkIsland,56
15/03/2016,NorfolkIsland,46
15/04/2016,NorfolkIsland,41
15/05/2016,NorfolkIsland,37
15/06/2016,NorfolkIsland,41
15/07/2016,NorfolkIsland,39
15/08/2016,NorfolkIsland,56
15/09/2016,NorfolkIsland,37
15/10/2016,NorfolkIsland,37
15/11/2016,NorfolkIsland,56
15/12/2016,NorfolkIsland,30
15/01/2017,NorfolkIsland,24
15/02/2017,NorfolkIsland,28
15/03/2017,NorfolkIsland,43
15/04/2017,NorfolkIsland,31
15/05/2017,NorfolkIsland,61
15/06/2017,NorfolkIsland,39
15/01/2013,Penrith,26
15/03/2013,Penrith,17
15/04/2013,Penrith,24
15/05/2013,Penrith,41
15/06/2013,Penrith,39
15/07/2013,Penrith,7
15/08/2013,Penrith,46
15/09/2013,Penrith,30
15/10/2013,Penrith,26
15/11/2013,Penrith,39
15/12/2013,Penrith,35
15/01/2014,Penrith,30
15/02/2014,Penrith,20
15/03/2014,Penrith,57
15/04/2014,Penrith,26
15/05/2014,Penrith,11
15/06/2014,Penrith,52
15/07/2014,Penrith,13
15/08/2014,Penrith,22
15/09/2014,Penrith,28
15/10/2014,Penrith,44
15/11/2014,Penrith,22
15/12/2014,Penrith,28
15/01/2015,Penrith,30
15/02/2015,Penrith,35
15/03/2015,Penrith,43
15/04/2015,Penrith,63
15/05/2015,Penrith,31
15/06/2015,Penrith,17
15/07/2015,Penrith,15
15/08/2015,Penrith,22
15/09/2015,Penrith,65
15/10/2015,Penrith,26
15/11/2015,Penrith,26
15/12/2015,Penrith,48
15/01/2016,Penrith,52
15/02/2016,Penrith,NA
15/03/2016,Penrith,28
15/04/2016,Penrith,22
15/05/2016,Penrith,28
15/06/2016,Penrith,15
15/07/2016,Penrith,13
15/08/2016,Penrith,22
15/09/2016,Penrith,69
15/10/2016,Penrith,33
15/11/2016,Penrith,28
15/12/2016,Penrith,28
15/01/2017,Penrith,31
15/02/2017,Penrith,31
15/03/2017,Penrith,28
15/04/2017,Penrith,24
15/05/2017,Penrith,28
15/06/2017,Penrith,11
15/01/2013,Richmond,37
15/03/2013,Richmond,26
15/04/2013,Richmond,24
15/05/2013,Richmond,41
15/06/2013,Richmond,41
15/07/2013,Richmond,17
15/08/2013,Richmond,56
15/09/2013,Richmond,31
15/10/2013,Richmond,31
15/11/2013,Richmond,50
15/12/2013,Richmond,37
15/01/2014,Richmond,35
15/02/2014,Richmond,26
15/03/2014,Richmond,NA
15/04/2014,Richmond,28
15/05/2014,Richmond,17
15/06/2014,Richmond,46
15/07/2014,Richmond,15
15/08/2014,Richmond,28
15/09/2014,Richmond,30
15/10/2014,Richmond,46
15/11/2014,Richmond,33
15/12/2014,Richmond,31
15/01/2015,Richmond,39
15/02/2015,Richmond,39
15/03/2015,Richmond,46
15/04/2015,Richmond,44
15/05/2015,Richmond,39
15/06/2015,Richmond,13
15/07/2015,Richmond,22
15/08/2015,Richmond,26
15/09/2015,Richmond,67
15/10/2015,Richmond,31
15/11/2015,Richmond,31
15/12/2015,Richmond,43
15/01/2016,Richmond,50
15/02/2016,Richmond,28
15/03/2016,Richmond,30
15/04/2016,Richmond,24
15/05/2016,Richmond,26
15/06/2016,Richmond,15
15/07/2016,Richmond,17
15/08/2016,Richmond,26
15/09/2016,Richmond,57
15/10/2016,Richmond,35
15/11/2016,Richmond,30
15/12/2016,Richmond,31
15/01/2017,Richmond,35
15/02/2017,Richmond,33
15/03/2017,Richmond,35
15/04/2017,Richmond,31
15/05/2017,Richmond,30
15/06/2017,Richmond,17
15/01/2013,Sydney,41
15/03/2013,Sydney,43
15/04/2013,Sydney,37
15/05/2013,Sydney,46
15/06/2013,Sydney,43
15/07/2013,Sydney,33
15/08/2013,Sydney,57
15/09/2013,Sydney,33
15/10/2013,Sydney,33
15/11/2013,Sydney,69
15/12/2013,Sydney,30
15/01/2014,Sydney,56
15/02/2014,Sydney,26
15/03/2014,Sydney,91
15/04/2014,Sydney,50
15/05/2014,Sydney,24
15/06/2014,Sydney,54
15/07/2014,Sydney,22
15/08/2014,Sydney,28
15/09/2014,Sydney,30
15/10/2014,Sydney,78
15/11/2014,Sydney,39
15/12/2014,Sydney,41
15/01/2015,Sydney,35
15/02/2015,Sydney,37
15/03/2015,Sydney,70
15/04/2015,Sydney,46
15/05/2015,Sydney,48
15/06/2015,Sydney,39
15/07/2015,Sydney,24
15/08/2015,Sydney,30
15/09/2015,Sydney,NA
15/10/2015,Sydney,44
15/11/2015,Sydney,46
15/12/2015,Sydney,43
15/01/2016,Sydney,54
15/02/2016,Sydney,31
15/03/2016,Sydney,44
15/04/2016,Sydney,33
15/05/2016,Sydney,30
15/06/2016,Sydney,26
15/07/2016,Sydney,31
15/08/2016,Sydney,30
15/09/2016,Sydney,NA
15/10/2016,Sydney,50
15/11/2016,Sydney,39
15/12/2016,Sydney,46
15/01/2017,Sydney,33
15/02/2017,Sydney,37
15/03/2017,Sydney,54
15/04/2017,Sydney,26
15/05/2017,Sydney,43
15/06/2017,Sydney,22
15/01/2013,SydneyAirport,48
15/03/2013,SydneyAirport,50
15/04/2013,SydneyAirport,52
15/05/2013,SydneyAirport,57
15/06/2013,SydneyAirport,59
15/07/2013,SydneyAirport,28
15/08/2013,SydneyAirport,56
15/09/2013,SydneyAirport,30
15/10/2013,SydneyAirport,41
15/11/2013,SydneyAirport,50
15/12/2013,SydneyAirport,37
15/01/2014,SydneyAirport,65
15/02/2014,SydneyAirport,35
15/03/2014,SydneyAirport,50
15/04/2014,SydneyAirport,52
15/05/2014,SydneyAirport,24
15/06/2014,SydneyAirport,56
15/07/2014,SydneyAirport,26
15/08/2014,SydneyAirport,31
15/09/2014,SydneyAirport,37
15/10/2014,SydneyAirport,102
15/11/2014,SydneyAirport,48
15/12/2014,SydneyAirport,44
15/01/2015,SydneyAirport,39
15/02/2015,SydneyAirport,39
15/03/2015,SydneyAirport,69
15/04/2015,SydneyAirport,46
15/05/2015,SydneyAirport,50
15/06/2015,SydneyAirport,37
15/07/2015,SydneyAirport,22
15/08/2015,SydneyAirport,37
15/09/2015,SydneyAirport,67
15/10/2015,SydneyAirport,54
15/11/2015,SydneyAirport,54
15/12/2015,SydneyAirport,50
15/01/2016,SydneyAirport,69
15/02/2016,SydneyAirport,35
15/03/2016,SydneyAirport,54
15/04/2016,SydneyAirport,39
15/05/2016,SydneyAirport,33
15/06/2016,SydneyAirport,22
15/07/2016,SydneyAirport,31
15/08/2016,SydneyAirport,31
15/09/2016,SydneyAirport,69
15/10/2016,SydneyAirport,56
15/11/2016,SydneyAirport,46
15/12/2016,SydneyAirport,44
15/01/2017,SydneyAirport,39
15/02/2017,SydneyAirport,46
15/03/2017,SydneyAirport,50
15/04/2017,SydneyAirport,28
15/05/2017,SydneyAirport,50
15/06/2017,SydneyAirport,37
15/01/2013,WaggaWagga,35
15/03/2013,WaggaWagga,28
15/04/2013,WaggaWagga,33
15/05/2013,WaggaWagga,35
15/06/2013,WaggaWagga,37
15/07/2013,WaggaWagga,24
15/08/2013,WaggaWagga,26
15/09/2013,WaggaWagga,22
15/10/2013,WaggaWagga,33
15/11/2013,WaggaWagga,33
15/12/2013,WaggaWagga,39
15/01/2014,WaggaWagga,31
15/02/2014,WaggaWagga,46
15/03/2014,WaggaWagga,78
15/04/2014,WaggaWagga,19
15/05/2014,WaggaWagga,19
15/06/2014,WaggaWagga,35
15/07/2014,WaggaWagga,33
15/08/2014,WaggaWagga,30
15/09/2014,WaggaWagga,48
15/10/2014,WaggaWagga,35
15/11/2014,WaggaWagga,35
15/12/2014,WaggaWagga,63
15/01/2015,WaggaWagga,43
15/02/2015,WaggaWagga,35
15/03/2015,WaggaWagga,50
15/04/2015,WaggaWagga,41
15/05/2015,WaggaWagga,19
15/06/2015,WaggaWagga,37
15/07/2015,WaggaWagga,26
15/08/2015,WaggaWagga,13
15/09/2015,WaggaWagga,48
15/10/2015,WaggaWagga,30
15/11/2015,WaggaWagga,31
15/12/2015,WaggaWagga,35
15/01/2016,WaggaWagga,41
15/02/2016,WaggaWagga,50
15/03/2016,WaggaWagga,41
15/04/2016,WaggaWagga,35
15/05/2016,WaggaWagga,31
15/06/2016,WaggaWagga,17
15/07/2016,WaggaWagga,33
15/08/2016,WaggaWagga,19
15/09/2016,WaggaWagga,44
15/10/2016,WaggaWagga,31
15/11/2016,WaggaWagga,39
15/12/2016,WaggaWagga,46
15/01/2017,WaggaWagga,31
15/02/2017,WaggaWagga,37
15/03/2017,WaggaWagga,57
15/04/2017,WaggaWagga,35
15/05/2017,WaggaWagga,17
15/06/2017,WaggaWagga,17
15/01/2013,Williamtown,41
15/03/2013,Williamtown,33
15/04/2013,Williamtown,NA
15/05/2013,Williamtown,54
15/06/2013,Williamtown,50
15/07/2013,Williamtown,15
15/08/2013,Williamtown,52
15/09/2013,Williamtown,35
15/10/2013,Williamtown,35
15/11/2013,Williamtown,44
15/12/2013,Williamtown,37
15/01/2014,Williamtown,43
15/02/2014,Williamtown,35
15/03/2014,Williamtown,26
15/04/2014,Williamtown,41
15/05/2014,Williamtown,20
15/06/2014,Williamtown,67
15/07/2014,Williamtown,26
15/08/2014,Williamtown,31
15/09/2014,Williamtown,31
15/10/2014,Williamtown,63
15/11/2014,Williamtown,50
15/12/2014,Williamtown,39
15/01/2015,Williamtown,46
15/02/2015,Williamtown,41
15/03/2015,Williamtown,61
15/04/2015,Williamtown,39
15/05/2015,Williamtown,54
15/06/2015,Williamtown,31
15/07/2015,Williamtown,63
15/08/2015,Williamtown,30
15/09/2015,Williamtown,59
15/10/2015,Williamtown,28
15/11/2015,Williamtown,48
15/12/2015,Williamtown,39
15/01/2016,Williamtown,59
15/02/2016,Williamtown,46
15/03/2016,Williamtown,46
15/04/2016,Williamtown,31
15/05/2016,Williamtown,48
15/06/2016,Williamtown,30
15/07/2016,Williamtown,33
15/08/2016,Williamtown,31
15/09/2016,Williamtown,NA
15/10/2016,Williamtown,31
15/11/2016,Williamtown,31
15/12/2016,Williamtown,43
15/01/2017,Williamtown,35
15/02/2017,Williamtown,44
15/03/2017,Williamtown,52
15/04/2017,Williamtown,35
15/05/2017,Williamtown,39
15/06/2017,Williamtown,24
15/01/2013,Wollongong,33
15/03/2013,Wollongong,39
15/04/2013,Wollongong,39
15/05/2013,Wollongong,50
15/06/2013,Wollongong,57
15/07/2013,Wollongong,26
15/08/2013,Wollongong,59
15/09/2013,Wollongong,30
15/10/2013,Wollongong,26
15/11/2013,Wollongong,39
15/12/2013,Wollongong,41
15/01/2014,Wollongong,52
15/02/2014,Wollongong,35
15/03/2014,Wollongong,70
15/04/2014,Wollongong,57
15/05/2014,Wollongong,33
15/06/2014,Wollongong,65
15/07/2014,Wollongong,33
15/08/2014,Wollongong,24
15/09/2014,Wollongong,28
15/10/2014,Wollongong,89
15/11/2014,Wollongong,37
15/12/2014,Wollongong,39
15/01/2015,Wollongong,57
15/02/2015,Wollongong,31
15/03/2015,Wollongong,72
15/04/2015,Wollongong,52
15/05/2015,Wollongong,48
15/06/2015,Wollongong,46
15/07/2015,Wollongong,30
15/08/2015,Wollongong,30
15/09/2015,Wollongong,69
15/10/2015,Wollongong,48
15/11/2015,Wollongong,50
15/12/2015,Wollongong,30
15/01/2016,Wollongong,67
15/02/2016,Wollongong,39
15/03/2016,Wollongong,50
15/04/2016,Wollongong,44
15/05/2016,Wollongong,43
15/06/2016,Wollongong,20
15/07/2016,Wollongong,37
15/08/2016,Wollongong,39
15/09/2016,Wollongong,70
15/10/2016,Wollongong,52
15/11/2016,Wollongong,37
15/12/2016,Wollongong,41
15/01/2017,Wollongong,37
15/02/2017,Wollongong,43
15/03/2017,Wollongong,54
15/04/2017,Wollongong,24
15/05/2017,Wollongong,44
15/06/2017,Wollongong,22
15/01/2013,Canberra,33
15/03/2013,Canberra,28
15/04/2013,Canberra,33
15/05/2013,Canberra,46
15/06/2013,Canberra,43
15/07/2013,Canberra,30
15/08/2013,Canberra,33
15/09/2013,Canberra,26
15/10/2013,Canberra,57
15/11/2013,Canberra,48
15/12/2013,Canberra,52
15/01/2014,Canberra,39
15/02/2014,Canberra,74
15/03/2014,Canberra,70
15/04/2014,Canberra,31
15/05/2014,Canberra,31
15/06/2014,Canberra,48
15/07/2014,Canberra,30
15/08/2014,Canberra,30
15/09/2014,Canberra,28
15/10/2014,Canberra,59
15/11/2014,Canberra,41
15/12/2014,Canberra,37
15/01/2015,Canberra,48
15/02/2015,Canberra,39
15/03/2015,Canberra,41
15/04/2015,Canberra,26
15/05/2015,Canberra,26
15/06/2015,Canberra,35
15/07/2015,Canberra,30
15/08/2015,Canberra,19
15/09/2015,Canberra,78
15/10/2015,Canberra,50
15/11/2015,Canberra,41
15/12/2015,Canberra,37
15/01/2016,Canberra,52
15/02/2016,Canberra,46
15/03/2016,Canberra,37
15/04/2016,Canberra,31
15/05/2016,Canberra,54
15/06/2016,Canberra,17
15/07/2016,Canberra,30
15/08/2016,Canberra,22
15/09/2016,Canberra,69
15/10/2016,Canberra,44
15/11/2016,Canberra,31
15/12/2016,Canberra,30
15/01/2017,Canberra,52
15/02/2017,Canberra,43
15/03/2017,Canberra,46
15/04/2017,Canberra,26
15/05/2017,Canberra,35
15/06/2017,Canberra,11
15/01/2013,Tuggeranong,30
